JUnit version 4.12
.Test started at Thu Oct 27 13:18:30 UTC 2016
Insertions: 17,179,869,184 (approx: 131,072 GiB)
Thread count: 1
Maximum FPSet table count is: 34,359,738,368 (approx: 262,144 GiB)
FPSet lock count is: 256
FPSet bucket count is: 2147483639
Testing tlc2.tool.fp.MSBDiskFPSet
1477574376341 s; 128,271,670 insertions/min; 0 load factor
1477574436341 s; 128,625,846 insertions/min; 0.01 load factor
1477574556340 s; 535,876,040 insertions/min; 0.02 load factor
1477574616340 s; 134,939,696 insertions/min; 0.02 load factor
1477574676340 s; 134,178,567 insertions/min; 0.02 load factor
1477574736340 s; 133,320,206 insertions/min; 0.03 load factor
1477574796341 s; 132,269,581 insertions/min; 0.03 load factor
1477574856340 s; 131,165,991 insertions/min; 0.03 load factor
1477574916340 s; 131,776,396 insertions/min; 0.04 load factor
1477574976340 s; 131,412,556 insertions/min; 0.04 load factor
1477575036341 s; 130,913,944 insertions/min; 0.05 load factor
1477575156340 s; 523,935,003 insertions/min; 0.05 load factor
1477575216340 s; 130,996,488 insertions/min; 0.06 load factor
1477575276340 s; 130,817,294 insertions/min; 0.06 load factor
1477575336340 s; 130,077,526 insertions/min; 0.07 load factor
1477575396341 s; 129,314,768 insertions/min; 0.07 load factor
1477575516341 s; 515,613,528 insertions/min; 0.08 load factor
1477575576341 s; 130,442,771 insertions/min; 0.08 load factor
1477575696341 s; 522,209,868 insertions/min; 0.09 load factor
1477575816341 s; 520,969,790 insertions/min; 0.1 load factor
1477575936341 s; 520,412,473 insertions/min; 0.1 load factor
1477575996340 s; 129,190,984 insertions/min; 0.11 load factor
1477576056340 s; 128,723,394 insertions/min; 0.11 load factor
1477576116340 s; 128,091,476 insertions/min; 0.11 load factor
1477576176341 s; 128,381,601 insertions/min; 0.12 load factor
1477576236341 s; 128,043,370 insertions/min; 0.12 load factor
1477576356340 s; 509,990,982 insertions/min; 0.13 load factor
1477576416340 s; 126,936,227 insertions/min; 0.13 load factor
1477576476340 s; 126,468,895 insertions/min; 0.14 load factor
