JUnit version 4.12
.Test started at Sun Oct 23 23:03:02 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 68,719,476,736 (approx: 524,288 GiB)
FPSet lock count is: 0
FPSet bucket count is: 68719476736
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477264034762 s; 243,649,564 insertions/min; 0 load factor
1477264094761 s; 243,991,890 insertions/min; 0.01 load factor
1477264154761 s; 239,051,330 insertions/min; 0.01 load factor
1477264214761 s; 240,149,048 insertions/min; 0.01 load factor
1477264274761 s; 240,868,794 insertions/min; 0.02 load factor
1477264334762 s; 240,582,302 insertions/min; 0.02 load factor
1477264394761 s; 240,254,323 insertions/min; 0.02 load factor
1477264454762 s; 240,444,517 insertions/min; 0.03 load factor
1477264574761 s; 959,150,411 insertions/min; 0.04 load factor
1477264634761 s; 238,835,598 insertions/min; 0.04 load factor
1477264694762 s; 240,725,047 insertions/min; 0.04 load factor
1477264814761 s; 846,044,865 insertions/min; 0.05 load factor
1477264874761 s; 204,117,338 insertions/min; 0.05 load factor
1477264934762 s; 201,801,627 insertions/min; 0.05 load factor
1477265054761 s; 900,002,229 insertions/min; 0.06 load factor
1477265114761 s; 241,202,493 insertions/min; 0.06 load factor
1477265174761 s; 242,887,685 insertions/min; 0.07 load factor
1477265234761 s; 241,369,016 insertions/min; 0.07 load factor
1477265294762 s; 242,339,460 insertions/min; 0.07 load factor
1477265414761 s; 968,102,878 insertions/min; 0.08 load factor
1477265474761 s; 242,748,949 insertions/min; 0.09 load factor
1477265534761 s; 241,290,841 insertions/min; 0.09 load factor
1477265594761 s; 197,506,669 insertions/min; 0.09 load factor
1477265654762 s; 197,614,987 insertions/min; 0.09 load factor
1477265774762 s; 786,514,001 insertions/min; 0.1 load factor
1477265834761 s; 197,653,426 insertions/min; 0.1 load factor
1477265894761 s; 198,082,412 insertions/min; 0.11 load factor
1477265954761 s; 198,554,334 insertions/min; 0.11 load factor
1477266014761 s; 198,790,525 insertions/min; 0.11 load factor
1477266074762 s; 197,728,263 insertions/min; 0.11 load factor
1477266194761 s; 783,818,764 insertions/min; 0.12 load factor
1477266254761 s; 195,218,180 insertions/min; 0.12 load factor
1477266314762 s; 195,194,709 insertions/min; 0.13 load factor
1477266434761 s; 792,653,746 insertions/min; 0.13 load factor
1477266494761 s; 232,265,185 insertions/min; 0.14 load factor
1477266554762 s; 234,792,511 insertions/min; 0.14 load factor
1477266614761 s; 234,533,834 insertions/min; 0.14 load factor
1477266674762 s; 233,531,727 insertions/min; 0.15 load factor
1477266794761 s; 942,604,112 insertions/min; 0.15 load factor
1477266854761 s; 236,628,671 insertions/min; 0.16 load factor
1477266914762 s; 234,905,266 insertions/min; 0.16 load factor
1477267034761 s; 779,746,654 insertions/min; 0.16 load factor
1477267094761 s; 195,592,388 insertions/min; 0.17 load factor
1477267154762 s; 196,809,100 insertions/min; 0.17 load factor
1477267274761 s; 935,149,073 insertions/min; 0.18 load factor
1477267334761 s; 235,291,311 insertions/min; 0.18 load factor
1477267394761 s; 234,273,971 insertions/min; 0.18 load factor
1477267454761 s; 232,562,412 insertions/min; 0.19 load factor
1477267514762 s; 234,319,965 insertions/min; 0.19 load factor
1477267634761 s; 938,604,458 insertions/min; 0.2 load factor
