JUnit version 4.12
.Test started at Mon Oct 24 19:50:06 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 137,438,953,472 (approx: 1,048,576 GiB)
FPSet lock count is: 0
FPSet bucket count is: 137438953472
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477339257978 s; 152,974,668 insertions/min; 0 load factor
1477339317978 s; 149,845,047 insertions/min; 0 load factor
1477339377979 s; 150,176,399 insertions/min; 0 load factor
1477339497978 s; 599,936,188 insertions/min; 0.01 load factor
1477339557978 s; 150,693,531 insertions/min; 0.01 load factor
1477339617979 s; 150,681,377 insertions/min; 0.01 load factor
1477339737978 s; 603,194,765 insertions/min; 0.01 load factor
1477339797978 s; 151,259,186 insertions/min; 0.01 load factor
1477339857979 s; 151,438,751 insertions/min; 0.01 load factor
1477339977978 s; 595,794,925 insertions/min; 0.01 load factor
1477340037978 s; 141,626,813 insertions/min; 0.02 load factor
1477340097979 s; 142,877,904 insertions/min; 0.02 load factor
1477340217978 s; 572,232,465 insertions/min; 0.02 load factor
1477340277978 s; 143,206,949 insertions/min; 0.02 load factor
1477340337979 s; 143,095,953 insertions/min; 0.02 load factor
1477340457978 s; 573,485,612 insertions/min; 0.02 load factor
1477340517978 s; 143,603,141 insertions/min; 0.02 load factor
1477340577978 s; 143,453,403 insertions/min; 0.02 load factor
1477340637978 s; 143,364,245 insertions/min; 0.03 load factor
1477340697979 s; 143,416,516 insertions/min; 0.03 load factor
1477340817978 s; 574,478,166 insertions/min; 0.03 load factor
1477340877978 s; 145,444,330 insertions/min; 0.03 load factor
1477340937978 s; 145,540,884 insertions/min; 0.03 load factor
1477340997978 s; 145,866,089 insertions/min; 0.03 load factor
1477341057979 s; 145,361,869 insertions/min; 0.03 load factor
1477341177978 s; 582,629,552 insertions/min; 0.04 load factor
1477341237978 s; 146,282,522 insertions/min; 0.04 load factor
1477341297978 s; 149,247,913 insertions/min; 0.04 load factor
1477341357978 s; 149,010,300 insertions/min; 0.04 load factor
1477341417979 s; 150,007,619 insertions/min; 0.04 load factor
1477341537978 s; 596,217,339 insertions/min; 0.04 load factor
1477341597978 s; 143,583,381 insertions/min; 0.04 load factor
1477341657979 s; 143,626,081 insertions/min; 0.04 load factor
1477341777978 s; 578,689,623 insertions/min; 0.05 load factor
1477341837978 s; 144,675,143 insertions/min; 0.05 load factor
1477341897979 s; 144,717,805 insertions/min; 0.05 load factor
1477341957979 s; 144,571,855 insertions/min; 0.05 load factor
1477342077979 s; 581,286,290 insertions/min; 0.05 load factor
1477342197979 s; 579,776,052 insertions/min; 0.05 load factor
1477342317978 s; 573,736,946 insertions/min; 0.06 load factor
1477342377978 s; 143,669,496 insertions/min; 0.06 load factor
1477342437979 s; 143,818,857 insertions/min; 0.06 load factor
1477342557978 s; 575,488,762 insertions/min; 0.06 load factor
1477342617978 s; 143,678,479 insertions/min; 0.06 load factor
1477342677979 s; 143,654,517 insertions/min; 0.06 load factor
1477342797978 s; 574,758,426 insertions/min; 0.06 load factor
1477342857978 s; 143,704,395 insertions/min; 0.06 load factor
1477342917979 s; 143,266,541 insertions/min; 0.07 load factor
1477343037979 s; 570,696,218 insertions/min; 0.07 load factor
1477343157979 s; 566,172,456 insertions/min; 0.07 load factor
1477343217979 s; 143,477,733 insertions/min; 0.07 load factor
1477343337978 s; 576,539,959 insertions/min; 0.07 load factor
1477343397978 s; 143,889,469 insertions/min; 0.07 load factor
1477343457978 s; 143,890,640 insertions/min; 0.08 load factor
1477343517978 s; 143,895,811 insertions/min; 0.08 load factor
1477343577978 s; 143,504,525 insertions/min; 0.08 load factor
1477343637979 s; 144,009,081 insertions/min; 0.08 load factor
1477343757979 s; 578,192,518 insertions/min; 0.08 load factor
1477343877979 s; 575,299,106 insertions/min; 0.08 load factor
1477343997979 s; 575,823,396 insertions/min; 0.08 load factor
1477344117978 s; 574,259,744 insertions/min; 0.09 load factor
1477344177978 s; 144,376,022 insertions/min; 0.09 load factor
1477344237978 s; 144,690,375 insertions/min; 0.09 load factor
1477344297979 s; 144,907,271 insertions/min; 0.09 load factor
1477344417978 s; 578,094,064 insertions/min; 0.09 load factor
1477344477978 s; 144,969,516 insertions/min; 0.09 load factor
1477344537979 s; 144,802,413 insertions/min; 0.09 load factor
1477344657979 s; 578,171,756 insertions/min; 0.1 load factor
1477344777979 s; 577,419,030 insertions/min; 0.1 load factor
1477344837979 s; 144,452,583 insertions/min; 0.1 load factor
1477344957979 s; 578,571,998 insertions/min; 0.1 load factor
1477345077978 s; 576,609,508 insertions/min; 0.1 load factor
1477345137978 s; 144,491,703 insertions/min; 0.1 load factor
1477345197979 s; 144,575,046 insertions/min; 0.11 load factor
1477345317979 s; 575,910,972 insertions/min; 0.11 load factor
1477345437979 s; 576,531,376 insertions/min; 0.11 load factor
1477345557979 s; 575,032,722 insertions/min; 0.11 load factor
1477345677979 s; 577,769,606 insertions/min; 0.11 load factor
1477345797979 s; 577,271,456 insertions/min; 0.12 load factor
1477345917978 s; 578,369,544 insertions/min; 0.12 load factor
1477345977978 s; 146,144,405 insertions/min; 0.12 load factor
1477346037979 s; 146,052,932 insertions/min; 0.12 load factor
1477346157978 s; 585,590,674 insertions/min; 0.12 load factor
1477346217978 s; 146,606,216 insertions/min; 0.12 load factor
1477346277978 s; 146,389,897 insertions/min; 0.12 load factor
1477346337978 s; 146,093,265 insertions/min; 0.13 load factor
1477346397978 s; 146,638,802 insertions/min; 0.13 load factor
1477346457978 s; 146,709,272 insertions/min; 0.13 load factor
1477346517978 s; 146,454,717 insertions/min; 0.13 load factor
1477346577978 s; 146,325,756 insertions/min; 0.13 load factor
1477346637978 s; 146,332,435 insertions/min; 0.13 load factor
1477346697978 s; 146,873,749 insertions/min; 0.13 load factor
1477346757978 s; 146,582,656 insertions/min; 0.13 load factor
