JUnit version 4.12
.Test started at Tue Oct 25 03:22:30 UTC 2016
Insertions: 34,359,738,368 (approx: 262,144 GiB)
Thread count: 1
Maximum FPSet table count is: 137,438,953,472 (approx: 1,048,576 GiB)
FPSet lock count is: 0
FPSet bucket count is: 137438953472
Testing tlc2.tool.fp.OffHeapDiskFPSet
1477366361060 s; 147,911,749 insertions/min; 0 load factor
1477366421060 s; 156,642,385 insertions/min; 0 load factor
1477366481060 s; 174,489,633 insertions/min; 0 load factor
1477366541060 s; 175,022,009 insertions/min; 0 load factor
1477366601061 s; 175,150,725 insertions/min; 0.01 load factor
1477366721060 s; 700,021,812 insertions/min; 0.01 load factor
1477366781060 s; 174,931,453 insertions/min; 0.01 load factor
1477366841061 s; 174,206,185 insertions/min; 0.01 load factor
1477366961060 s; 696,850,738 insertions/min; 0.01 load factor
1477367021060 s; 173,989,305 insertions/min; 0.01 load factor
1477367081061 s; 174,114,338 insertions/min; 0.02 load factor
1477367201060 s; 695,584,631 insertions/min; 0.02 load factor
1477367261060 s; 173,866,352 insertions/min; 0.02 load factor
1477367321061 s; 173,522,995 insertions/min; 0.02 load factor
1477367441061 s; 694,121,564 insertions/min; 0.02 load factor
1477367561060 s; 609,296,972 insertions/min; 0.03 load factor
1477367621060 s; 158,251,468 insertions/min; 0.03 load factor
1477367681060 s; 173,459,669 insertions/min; 0.03 load factor
1477367741060 s; 172,500,488 insertions/min; 0.03 load factor
1477367801061 s; 172,621,494 insertions/min; 0.03 load factor
1477367921060 s; 689,069,839 insertions/min; 0.03 load factor
1477367981060 s; 172,988,255 insertions/min; 0.03 load factor
1477368041061 s; 173,040,669 insertions/min; 0.04 load factor
1477368161060 s; 695,288,735 insertions/min; 0.04 load factor
1477368221060 s; 169,943,910 insertions/min; 0.04 load factor
1477368281060 s; 170,862,607 insertions/min; 0.04 load factor
1477368341060 s; 170,047,113 insertions/min; 0.04 load factor
1477368401060 s; 157,447,346 insertions/min; 0.04 load factor
1477368461060 s; 170,309,451 insertions/min; 0.04 load factor
1477368521061 s; 170,296,002 insertions/min; 0.05 load factor
1477368641060 s; 682,457,152 insertions/min; 0.05 load factor
1477368701060 s; 158,523,635 insertions/min; 0.05 load factor
1477368761060 s; 144,777,468 insertions/min; 0.05 load factor
1477368821060 s; 145,062,803 insertions/min; 0.05 load factor
1477368881060 s; 168,080,366 insertions/min; 0.05 load factor
1477368941060 s; 170,539,133 insertions/min; 0.05 load factor
1477369001061 s; 171,143,168 insertions/min; 0.06 load factor
1477369121060 s; 686,999,968 insertions/min; 0.06 load factor
1477369181060 s; 172,609,675 insertions/min; 0.06 load factor
1477369241061 s; 172,375,953 insertions/min; 0.06 load factor
1477369301060 s; 172,259,921 insertions/min; 0.06 load factor
1477369361061 s; 171,327,538 insertions/min; 0.06 load factor
1477369481061 s; 685,915,008 insertions/min; 0.07 load factor
1477369601060 s; 676,237,930 insertions/min; 0.07 load factor
1477369661060 s; 158,054,480 insertions/min; 0.07 load factor
1477369721061 s; 158,583,825 insertions/min; 0.07 load factor
1477369841060 s; 647,748,112 insertions/min; 0.07 load factor
1477369901060 s; 171,442,140 insertions/min; 0.07 load factor
1477369961061 s; 172,408,340 insertions/min; 0.07 load factor
1477370081060 s; 690,708,136 insertions/min; 0.08 load factor
1477370141060 s; 174,029,003 insertions/min; 0.08 load factor
1477370201060 s; 174,075,440 insertions/min; 0.08 load factor
1477370261060 s; 173,983,794 insertions/min; 0.08 load factor
1477370321060 s; 174,638,869 insertions/min; 0.08 load factor
1477370381061 s; 174,207,458 insertions/min; 0.08 load factor
1477370501060 s; 696,031,277 insertions/min; 0.09 load factor
1477370561060 s; 173,628,259 insertions/min; 0.09 load factor
1477370621061 s; 171,546,509 insertions/min; 0.09 load factor
1477370741060 s; 685,793,391 insertions/min; 0.09 load factor
1477370801060 s; 171,583,419 insertions/min; 0.09 load factor
1477370861061 s; 171,393,148 insertions/min; 0.09 load factor
1477370981060 s; 686,845,090 insertions/min; 0.1 load factor
1477371041060 s; 171,697,129 insertions/min; 0.1 load factor
1477371101060 s; 172,061,033 insertions/min; 0.1 load factor
1477371161060 s; 172,332,861 insertions/min; 0.1 load factor
1477371221060 s; 172,229,925 insertions/min; 0.1 load factor
1477371281061 s; 171,678,729 insertions/min; 0.1 load factor
1477371401060 s; 687,118,843 insertions/min; 0.11 load factor
1477371461060 s; 171,759,970 insertions/min; 0.11 load factor
1477371521060 s; 172,424,312 insertions/min; 0.11 load factor
1477371581060 s; 172,240,232 insertions/min; 0.11 load factor
1477371641060 s; 172,116,132 insertions/min; 0.11 load factor
1477371701061 s; 172,116,824 insertions/min; 0.11 load factor
1477371821060 s; 683,837,647 insertions/min; 0.11 load factor
1477371881060 s; 168,049,528 insertions/min; 0.12 load factor
